,Date,User,Tweet,Reply,Retweet,Like,,,,,,
73,2018/12/7 00:00,ASUSROGJP,"??Ôºº„É°?™„Éº?Ø„É™?π„??πÔ?Ôºè??AMD?ROG?ã„??Æ„ÇØ?™„Çπ?û„Çπ?ó„É¨?º„É≥?à????ÂøúÂ??πÊ???
??@amdjapan ?í„??©„É≠????@ASUSROGJP  ?í„??©„É≠?????ì„ÅÆ?ïÁ®ø?í„É™?Ñ„Ç§?º„??ó„Å¶?Å„ÄåAMD?íÂ?Ê£ã„ÅÆÈßí„Å´‰æã„??ã„Å®Ôºü„Äç„??™„??©„Ç§?ßÈÄÅ‰ø°???ΩÈÅ∏?ßÔ??çÊ??´„ÄÅÈ?ÂÆö„Ç™?™„Ç∏?ä„É´?û„Ç¶?π„??É„?ÔºÜ„??≥„??π„??ä„Éº?í„??¨„Çº?≥„?ÔºÅÔ? https://t.co/F27jsGzjRr",738,2185,481,2018/3/14,9,,,2018/3/14,9
74,2018/12/7 00:00,thegameawards,Win a trip to @Fnatic?ôs gaming house in Berlin for a 1-on-1 training sessions plus a custom Fnatic-branded gaming PC powered by @AMDRyzen and @Radeon in #TheGameAwards Rise To the Top with @AMD contest: https://t.co/A5je2Cype4 #AMDFnaticDay https://t.co/WmxMuapK5V,8,47,304,2018/3/15,0,,,2018/3/15,0
75,2018/12/6 00:00,ncaq,?™Â??åAMD?ÆÂ??±Ê?ÂΩìËÄÖ„Å™?âÊ??∞„ÅÆThreadripper?®„É°?¢„É™512GB?ê„??ÑÁ??ì„?PC?íDell?Ç„??ä„Å´‰Ωú„Å£?¶„??â„Å£?¶ÁÑ°?üÊ?‰æõ„??¶Ëó§‰∫ïËÅ°Â§™Ê??®„??§„Çπ?ö„??ØPC?®„??¶Â£≤?äÂá∫??1,131,193,,2018/3/16,1,,,2018/3/16,1
76,2018/12/6 00:00,ConvictusEsport,"Nothing to see here.

Just 3 happy normal people who are excited to be at the AMD Dota 2 Pro Series Melbourne this weekend. 

@anadota99 @blackshags @SirActionSlacks https://t.co/WLejkBeNYr",10,18,302,2018/3/17,0,,,2018/3/17,0
77,2018/12/5 00:00,CharlieDaniels,"Morning prayer
Lord keep us from tending to complicate Your simple message of salvation of believe in your heart and confess with your mouth and turning it into a litany of empty religious requirements no one can truly keep amd feel guilty all the time.",30,159,740,2018/3/18,3,,,2018/3/18,3
78,2018/12/4 00:00,fukken_z,( Ôæü‚?Ôæ?oÂΩ°¬∞AMDÔºÅAMDÔº?‰Ωï„?Ê∑∑„???Å¶?ã„??©Ô? https://t.co/6ii618E4dQ,15,58,189,2018/3/19,0,,,2018/3/19,0
79,2018/12/4 00:00,amdjapan,"?Ç„ÅÆ #?§‰??°Â§™ ‰∏ÉÊÆµ??#Ryzen 7 1800X ?í‰Ωø??Å¶?Ñ„??®„?ÔºÅÔ?
?•Âπ¥?∫Ëç∑?ãÂ?‰∫àÂ???#Zen2 ?Ç„??≤„?Ê•Ω„??ø„Å´Ôº??™„??Å„??è„??ÆAMD Ryzen #Threadripper ?´„Å§?Ñ„Å¶?Ø„??°„??Æ„??º„Ç∏?ß„?Á¥π‰??ó„Å¶?Ñ„Åæ?ô?á??#CPU #Â∞ÜÊ?",7,338,381,2018/3/20,0,,,2018/3/20,0
80,2018/12/3 00:00,linoakii,"so you?ôre telling me .... I?ôm the photocards they have the green string attached to their pinky?ôs to symbolize staying together with us forever . THATS IT NO ONE HAS A BETTER BOND THAN AHGASE AMD GOT7 , IVE SEEN IT ALL THEY HAVE DONE IT",1,103,250,2018/3/21,1,,,2018/3/21,1
81,2018/12/3 00:00,ste_midge,"Im not afraid to tell people this, just had a phone call from my little lads school. As you know myself and the fam have beem struggling all year, my kids are feeling it to. The school have decided to give us a christmas hamper amd also other food to help through christmas. https://t.co/8KqZHfM7Y4",22,2,134,2018/3/22,0,,,2018/3/22,0
82,2018/12/3 00:00,GIGABYTE_News,"( ?ú‚???oÂΩ°¬∞AMDÔºÅAMDÔºÅ„Ç≠??É≥?ö„Éº?≥È?Âß??Ä
@amdjapan @GIGABYTE_News @AORUS_JP ?íÂÖ®?®„??©„É≠?º„??¶„ÄÅ„??Æ„??§„Éº?à„??™„??§„Éº?à„????çÊ??´„ÄÅ„ÄåAMD ?™„É™?∏„???Â∑®Â§ß?≤„Éº?ü„É≥?∞„Éª?û„Ç¶?π„??É„??ç„??≤Â??Ñ„??ó„Åæ?ô„Ä??Ä
?îÂ??ü„ÅØ12??2?•„Åæ?ßÔ? https://t.co/Ok9bYc4Bce",45,1170,318,2018/3/23,2,,,2018/3/23,2
83,2018/12/3 00:00,notoriousaali,"SUNDAYS ARE OFFICIALLY SELF-CARE DAYS. WHAT Y'ALL DOING TODAY TO TAKE CARE OF YOUR HEALTH MENTALLY, PHYSICALLY, AMD EMOTIONALLY??",48,1859,7966,2018/3/24,1,,,2018/3/24,1
